word,sound,level
ปี,ป,Sound
เปีย,ป,Sound
ไป,ป,Sound
ปอ,ป,Sound
ปู,ป,Sound
เปา,ป,Sound
ปัว,ป,Sound
แป,ป,Sound
ปลา,ป,1 syllable
เป่า,ป,1 syllable
ป่า,ป,1 syllable
ปก,ป,1 syllable
ปีน,ป,1 syllable
ปรุง,ป,1 syllable
ป่วย,ป,1 syllable
เปลี่ยน,ป,1 syllable
แปลง,ป,1 syllable
เป็น,ป,1 syllable
ปลอม,ป,1 syllable
ปอดบวม,ป,2 syllable
ประโยชน์,ป,2 syllable
คนป๋วย,ป,2 syllable
กระป๋อง,ป,2 syllable
ปากเป็ด,ป,2 syllable
เปิดบ้าน,ป,2 syllable
ไปเที่ยว,ป,2 syllable
ผูกป้าย,ป,2 syllable
ปั้นดิน,ป,2 syllable
เปียกฝน,ป,2 syllable
ปลากระป๋อง,ป,3 syllable
แปดสิบแปด,ป,3 syllable
เป็ดพะโล้,ป,3 syllable
ปลูกต้นไม้,ป,3 syllable
ปะการัง,ป,3 syllable
ถือกระเป๋า,ป,3 syllable
ผู้ากันเปื้อน,ป,3 syllable
ปู่เป่าปี่,ป,3 syllable
ปีนต้นไม้,ป,3 syllable
ใส่กระโปรง,ป,3 syllable
ปลาปักเป้ากินปู,ป,Sentences
ปังปอนปีนต้นประดู่,ป,Sentences
ป้ากับปู่ไปเป็นผู้ปกครอง,ป,Sentences
เปียปลูกต้นตีนเป็ด,ป,Sentences
เปาอยู่กับปู่ริมป่าโปร่ง,ป,Sentences
