word,sound,category,group
นา,น,NSS1,1
นี,น,NSS1,1
นู,น,NSS1,1
เน,น,NSS1,1
แน,น,NSS1,1
ไน,น,NSS1,1
โน,น,NSS1,1
นอ,น,NSS1,1
เนีย,น,NSS1,1
เนือ,น,NSS1,1
เนา,น,NSS1,1
นัว,น,NSS1,1
นานา,น,NSS2,2.1
นีนี,น,NSS2,2.1
นูนู,น,NSS2,2.1
เนเน,น,NSS2,2.1
แนแน,น,NSS2,2.1
ไนไน,น,NSS2,2.1
โนโน,น,NSS2,2.1
นอนอ,น,NSS2,2.1
เนียเนีย,น,NSS2,2.1
เนือเนือ,น,NSS2,2.1
เนาเนา,น,NSS2,2.1
นัวนัว,น,NSS2,2.1
นานี,น,NSS2,2.2
นีนู,น,NSS2,2.2
นูเน,น,NSS2,2.2
เนแน,น,NSS2,2.2
แนไน,น,NSS2,2.2
ไนโน,น,NSS2,2.2
โนนอ,น,NSS2,2.2
นอเนีย,น,NSS2,2.2
เนียเนือ,น,NSS2,2.2
เนือเนา,น,NSS2,2.2
เนานัว,น,NSS2,2.2
นาเน,น,NSS2,2.2
ไนนา,น,NSS2,2.2
โนนา,น,NSS2,2.2
แนนา,น,NSS2,2.2
นัวนา,น,NSS2,2.2
เนานี,น,NSS2,2.2
เนือนู,น,NSS2,2.2
เนียเน,น,NSS2,2.2
นอแน,น,NSS2,2.2
โนไน,น,NSS2,2.2
นีไน,น,NSS2,2.2
นูโน,น,NSS2,2.2
เนเนา,น,NSS2,2.2
น้ำ,น,W1,
หนู,น,W1,
นุ่ม,น,W1,
หนึ่ง,น,W1,
นก,น,W1,
หน้า,น,W1,
นม,น,W1,
น้อง,น,W1,
นิ้ว,น,W1,
เหนื่อย,น,W1,
ดื่มน้ำ,น,W2,
นกน้อย,น,W2,
น่ารัก,น,W2,
นอนหลับ,น,W2,
น้ำตาล,น,W2,
นิทาน,น,W2,
นิ้วก้อย,น,W2,
นิดหน่อย,น,W2,
หน้าหนาว,น,W2,
มะนาว,น,W2,
นักกีฬา,น,W3,
นาฬิกา,น,W3,
น้ำตาลทราย,น,W3,
น้องน่ารัก,น,W3,
น้องดื่มนม,น,W3,
เล่านิทาน,น,W3,
ชูนิ้วก้อย,น,W3,
ไปเล่นน้ำ,น,W3,
น้ำมะนาว,น,W3,
นอนที่นี่,น,W3,
หนูนามีน้องหนึ่งคน,น,SENT,
น้องของหนูนาชื่อว่านกน้อย,น,SENT,
น้องนกน้อยมีหน้าตาน่ารักมาก,น,SENT,
หนูนาชอบดูน้องนกน้อยเวลากินนมแม่,น,SENT,
น้องนกน้อยนอนหลับ,น,SENT,
แม่พาน้องนกน้อยไปนอนบนที่นอนนุ่มนุ่ม,น,SENT,
หนูนานั่งเฝ้าน้องนกน้อยนอนหลับ,น,SENT,
น้องน้อยแต่งตัวน่ารักน่าชม,น,SENT,
พ่อเล่านิทานให้น้องฟัง,น,SENT,
น้ำนองในนาเนิ่นนาน,น,SENT,
