word,sound,category,group
มา,ม,NSS1,1
มี,ม,NSS1,1
มู,ม,NSS1,1
เม,ม,NSS1,1
แม,ม,NSS1,1
ไม,ม,NSS1,1
โม,ม,NSS1,1
มอ,ม,NSS1,1
เมีย,ม,NSS1,1
เมือ,ม,NSS1,1
เมา,ม,NSS1,1
มัว,ม,NSS1,1
มามา,ม,NSS2,2.1
มีมี,ม,NSS2,2.1
มูมู,ม,NSS2,2.1
เมเม,ม,NSS2,2.1
แมแม,ม,NSS2,2.1
ไมไม,ม,NSS2,2.1
โมโม,ม,NSS2,2.1
มอมอ,ม,NSS2,2.1
เมียเมีย,ม,NSS2,2.1
เมือเมือ,ม,NSS2,2.1
เมาเมา,ม,NSS2,2.1
มัวมัว,ม,NSS2,2.1
มามี,ม,NSS2,2.2
มีมู,ม,NSS2,2.2
มูเม,ม,NSS2,2.2
เมแม,ม,NSS2,2.2
แมไม,ม,NSS2,2.2
ไมโม,ม,NSS2,2.2
โมมอ,ม,NSS2,2.2
มอเมีย,ม,NSS2,2.2
เมียเมือ,ม,NSS2,2.2
เมือเมา,ม,NSS2,2.2
เมามัว,ม,NSS2,2.2
มาเม,ม,NSS2,2.2
ไมมา,ม,NSS2,2.2
โมมา,ม,NSS2,2.2
แมมา,ม,NSS2,2.2
มัวมา,ม,NSS2,2.2
เมามี,ม,NSS2,2.2
เมือมู,ม,NSS2,2.2
เมียเม,ม,NSS2,2.2
มอแม,ม,NSS2,2.2
โมไม,ม,NSS2,2.2
มีไม,ม,NSS2,2.2
มูโม,ม,NSS2,2.2
เมเมา,ม,NSS2,2.2
แม่,ม,W1,
ม้า,ม,W1,
หมี,ม,W1,
แมว,ม,W1,
หมู,ม,W1,
เหม็น,ม,W1,
มีด,ม,W1,
มือ,ม,W1,
เมฆ,ม,W1,
หมา,ม,W1,
ไม่มี,ม,W2,
แมวเหมียว,ม,W2,
มาม่า,ม,W2,
แม่ครัว,ม,W2,
แม่ม้า,ม,W2,
มากมาย,ม,W2,
มังกร,ม,W2,
มะม่วง,ม,W2,
รถเมล์,ม,W2,
แมวน้ำ,ม,W2,
กินมาม่า,ม,W3,
มะม่วงมัน,ม,W3,
ยกมือขวา,ม,W3,
ดูแมวน้ำ,ม,W3,
ไม่มีหมา,ม,W3,
มองแมวเหมียว,ม,W3,
มอเตอร์ไซค์,ม,W3,
ม้ามอมแมม,ม,W3,
แม่มาหา,ม,W3,
กี่โมงแล้ว,ม,W3,
แม่ม้าไม่มองมา,ม,SENT,
แม่มองแมวมันเหม็นมาก,ม,SENT,
แม่มีมะม่วงมันมากมาย,ม,SENT,
แม่พามานะมาดูแมวน้ำ,ม,SENT,
แม่มองเมฆจนเมื่อย,ม,SENT,
แม่มีม้ามากมาย,ม,SENT,
แมลงบินมาหามานี,ม,SENT,
ไม่มืดแล้วแม่มาได้,ม,SENT,
แม่ม้ามาหาลูกมัน,ม,SENT,
หมูมีมันมากมาย,ม,SENT,
