word,sound,category,group
ยา,ย,NSS1,1
ยี,ย,NSS1,1
ยู,ย,NSS1,1
เย,ย,NSS1,1
แย,ย,NSS1,1
ไย,ย,NSS1,1
โย,ย,NSS1,1
ยอ,ย,NSS1,1
เยีย,ย,NSS1,1
เยือ,ย,NSS1,1
เยา,ย,NSS1,1
ยัว,ย,NSS1,1
ยายา,ย,NSS2,2.1
ยียี,ย,NSS2,2.1
ยูยู,ย,NSS2,2.1
เยเย,ย,NSS2,2.1
แยแย,ย,NSS2,2.1
ไยไย,ย,NSS2,2.1
โยโย,ย,NSS2,2.1
ยอยอ,ย,NSS2,2.1
เยียเยีย,ย,NSS2,2.1
เยือเยือ,ย,NSS2,2.1
เยาเยา,ย,NSS2,2.1
ยัวยัว,ย,NSS2,2.1
ยายี,ย,NSS2,2.2
ยียู,ย,NSS2,2.2
ยูเย,ย,NSS2,2.2
เยแย,ย,NSS2,2.2
แยไย,ย,NSS2,2.2
ไยโย,ย,NSS2,2.2
โยยอ,ย,NSS2,2.2
ยอเยีย,ย,NSS2,2.2
เยียเยือ,ย,NSS2,2.2
เยือเยา,ย,NSS2,2.2
เยายัว,ย,NSS2,2.2
ยาเย,ย,NSS2,2.2
ไยยา,ย,NSS2,2.2
โยยา,ย,NSS2,2.2
แยยา,ย,NSS2,2.2
ยัวยา,ย,NSS2,2.2
เยายี,ย,NSS2,2.2
เยือยู,ย,NSS2,2.2
เยียเย,ย,NSS2,2.2
ยอแย,ย,NSS2,2.2
โยไย,ย,NSS2,2.2
ยีไย,ย,NSS2,2.2
ยูโย,ย,NSS2,2.2
เยเยา,ย,NSS2,2.2
หยุด,ย,W1,
ยาย,ย,W1,
ใหญ่,ย,W1,
ยาม,ย,W1,
ย่าง,ย,W1,
ยักษ์,ย,W1,
ยุง,ย,W1,
ยิง,ย,W1,
ยิ้ม,ย,W1,
ยก,ย,W1,
ตู้เย็น,ย,W2,
รถยนต์,ย,W2,
คุณยาย,ย,W2,
ลำไย,ย,W2,
กินยา,ย,W2,
ยิ้มแย้ม,ย,W2,
ไก่ย่าง,ย,W2,
ยุงเยอะ,ย,W2,
คุณย่า,ย,W2,
ห่วงใย,ย,W2,
คุณยายยิ้ม,ย,W3,
คุณย่ายืน,ย,W3,
เปิดตู้เย็น,ย,W3,
ยำวุ้นเส้น,ย,W3,
เล่นหุ่นยนต์,ย,W3,
รถยนต์หยุด,ย,W3,
ยิงปืนใหญ่,ย,W3,
กินไก่ย่าง,ย,W3,
ยางรถยนต์,ย,W3,
ได้ยินเสียง,ย,W3,
คุณยายยิ้มยาก,ย,SENT,
เปิดตู้เย็นหยิบแยมให้หน่อย,ย,SENT,
เด็กกินยาแล้วยิ้มแย้ม,ย,SENT,
อย่าออกมายุงเยอะแยะ,ย,SENT,
ย่ากินยำหมูยอเยอะแยะ,ย,SENT,
ยักษ์ใหญ่ยืนอยู่หน้าประตู,ย,SENT,
รถยนต์หยุดรอคุณยาย,ย,SENT,
เด็กเล่นหุ่นยนต์ตอนเย็น,ย,SENT,
คุณย่ากินลำไยยามเย็น,ย,SENT,
ยักษ์ใหญ่ไล่เหยียบยักษ์เล็ก,ย,SENT,
