word,sound,category,group
หา,ห,NSS1,1
หุ,ห,NSS1,1
หู,ห,NSS1,1
เห,ห,NSS1,1
แห,ห,NSS1,1
ไห,ห,NSS1,1
โห,ห,NSS1,1
หอ,ห,NSS1,1
หึ,ห,NSS1,1
เหือ,ห,NSS1,1
เหา,ห,NSS1,1
หัว,ห,NSS1,1
หาหา,ห,NSS2,2.1
หุหุ,ห,NSS2,2.1
หูหู,ห,NSS2,2.1
เหเห,ห,NSS2,2.1
แหแห,ห,NSS2,2.1
ไหไห,ห,NSS2,2.1
โหโห,ห,NSS2,2.1
หอหอ,ห,NSS2,2.1
หึหึ,ห,NSS2,2.1
เหือเหือ,ห,NSS2,2.1
เหาเหา,ห,NSS2,2.1
หัวหัว,ห,NSS2,2.1
หาหุ,ห,NSS2,2.2
หุหู,ห,NSS2,2.2
หูเห,ห,NSS2,2.2
เหแห,ห,NSS2,2.2
แหไห,ห,NSS2,2.2
ไหโห,ห,NSS2,2.2
โหหอ,ห,NSS2,2.2
หอหึ,ห,NSS2,2.2
หึเหือ,ห,NSS2,2.2
เหือเหา,ห,NSS2,2.2
เหาหัว,ห,NSS2,2.2
หาเห,ห,NSS2,2.2
ไหหา,ห,NSS2,2.2
โหหา,ห,NSS2,2.2
แหหา,ห,NSS2,2.2
หัวหา,ห,NSS2,2.2
เหาหึ,ห,NSS2,2.2
เหือหู,ห,NSS2,2.2
หึเห,ห,NSS2,2.2
หอแห,ห,NSS2,2.2
โหไห,ห,NSS2,2.2
หุไห,ห,NSS2,2.2
หูโห,ห,NSS2,2.2
เหเหา,ห,NSS2,2.2
หู,ห,W1,
ห้า,ห,W1,
หอย,ห,W1,
หิน,ห,W1,
เห็ด,ห,W1,
หาง,ห,W1,
หก,ห,W1,
หิว,ห,W1,
เห่า,ห,W1,
หาว,ห,W1,
ห้องน้ำ,ห,W2,
หุบร่ม,ห,W2,
กุ้งแห้ง,ห,W2,
ห้าสิบ,ห,W2,
หกสิบ,ห,W2,
ทหาร,ห,W2,
หุ่นยนต์,ห,W2,
นกฮูก,ห,W2,
หุบเขา,ห,W2,
หมาเห่า,ห,W2,
หอมหัวใหญ่,ห,W3,
หกสิบห้า,ห,W3,
ห้าสิบห้า,ห,W3,
หูกระต่าย,ห,W3,
เล่นหุ่นยนต์,ห,W3,
ห่อของขวัญ,ห,W3,
ทำเงินหาย,ห,W3,
เห็นนกฮูก,ห,W3,
หีบใส่เห็ด,ห,W3,
เห่าโฮ่งโฮ่ง,ห,W3,
ข้าวหอมจนหายหิว,ห,SENT,
หอยห้าห่อให้หนูหิ้ว,ห,SENT,
มีไก่หายไปหกตัว,ห,SENT,
เอาแหไปหาปลา,ห,SENT,
มีเงินห้าสิบหกบาท,ห,SENT,
เก็บเงินในหีบมีหูหิ้ว,ห,SENT,
เห็นนกฮูกหาอาหาร,ห,SENT,
หมาเห่าโฮ่งโฮ่ง,ห,SENT,
ฮองเฮาหาฮ่องเต้ในห้อง,ห,SENT,
ห้ามหุ่นยนต์เข้าห้อง,ห,SENT,
